Ratio	Convergence/100	MeanStepsToConvergence	StdDevStepsToConvergence
1.00	100	84.450000	30.911608
0.99	100	69.950000	25.279784
0.98	100	74.720000	28.003957
0.97	100	68.850000	25.572397
0.96	100	66.520000	25.516849
0.95	100	56.790000	23.284027
0.94	100	58.490000	25.671578
0.93	100	54.770000	24.900544
0.92	100	53.160000	22.909701
0.91	100	48.740000	18.502227
0.90	100	48.440000	22.717535
0.89	100	45.040000	19.170248
0.88	100	45.980000	21.027591
0.87	100	45.360000	24.805854
0.86	100	41.630000	25.979860
0.85	100	37.110000	14.515437
0.84	100	37.470000	18.240863
0.83	100	40.350000	21.990623
0.82	100	35.050000	15.311679
0.81	100	34.760000	16.823270
0.80	100	33.050000	12.271410
0.79	100	31.350000	12.376086
0.78	100	31.140000	12.676766
0.77	100	32.520000	14.645463
0.76	100	30.550000	14.496465
0.75	100	29.070000	13.024020
0.74	100	27.980000	11.267635
0.73	100	29.270000	13.081938
0.72	100	26.930000	10.360748
0.71	100	27.610000	12.846708
0.70	100	24.900000	9.296774
0.69	100	26.000000	9.933781
0.68	100	24.950000	9.628473
0.67	100	23.470000	8.364753
0.66	100	23.630000	11.665895
0.65	100	24.190000	13.041238
0.64	100	23.440000	8.084949
0.63	100	21.830000	7.201465
0.62	100	20.840000	6.549382
0.61	100	23.240000	8.995688
0.60	100	21.330000	9.964994
0.59	100	20.800000	7.071068
0.58	100	20.390000	7.342881
0.57	100	20.480000	8.831172
0.56	100	22.720000	8.756803
0.55	100	20.140000	7.905719
0.54	100	19.630000	7.129734
0.53	100	18.430000	4.712229
0.52	99	18.828283	5.863843
0.51	100	19.300000	6.860758
0.50	100	20.170000	8.773887
0.49	98	18.367347	5.065666
0.48	100	16.890000	4.496432
0.47	99	18.383838	7.273457
0.46	100	17.770000	6.859818
0.45	99	18.252525	6.944722
0.44	99	18.888889	8.030106
0.43	100	16.960000	5.651407
0.42	98	16.224490	5.854582
0.41	100	17.390000	6.770369
0.40	98	16.255102	5.280521
0.39	99	16.000000	6.066966
0.38	100	14.670000	3.627823
0.37	97	15.340206	4.961473
0.36	100	15.770000	6.549588
0.35	96	15.114583	3.679532
0.34	97	14.020619	3.782704
0.33	98	14.693878	4.585710
0.32	97	14.536082	4.938930
0.31	95	13.926316	4.432516
0.30	94	13.585106	3.662372
0.29	95	13.705263	5.007097
0.28	92	13.380435	5.012685
0.27	91	13.868132	3.574048
0.26	94	13.617021	3.992297
0.25	97	13.010309	4.377767
0.24	86	13.639535	6.350083
0.23	91	12.846154	4.021708
0.22	91	13.725275	8.176710
0.21	86	12.755814	5.683383
0.20	92	11.326087	3.656765
0.19	85	11.741176	3.829154
0.18	87	11.666667	3.395963
0.17	87	11.379310	4.108420
0.16	79	10.886076	3.547106
0.15	80	11.100000	3.462658
0.14	84	11.214286	4.947514
0.13	78	9.705128	4.432135
0.12	73	11.013699	4.156174
0.11	84	9.714286	4.694403
0.10	73	8.863014	5.268971
0.09	75	6.906667	4.007238
0.08	77	6.610390	4.240056
0.07	72	6.819444	5.132485
0.06	76	5.605263	4.746408
0.05	80	6.862500	4.729545
0.04	81	4.049383	4.427471
0.03	81	2.604938	2.967640
0.02	88	1.806818	2.088159
0.01	86	1.255814	1.365574

