Ratio	Convergence/100	MeanStepsToConvergence	StdDevStepsToConvergence
1.00	100	155.460000	63.116625
0.99	100	150.720000	69.517635
0.98	100	130.190000	60.978799
0.97	100	109.010000	60.099833
0.96	100	111.940000	68.795177
0.95	100	95.840000	66.759676
0.94	100	92.400000	62.681576
0.93	100	76.790000	54.925094
0.92	100	68.950000	52.643779
0.91	100	67.950000	68.362033
0.90	100	63.300000	48.545752
0.89	100	60.390000	62.596469
0.88	100	46.990000	35.937305
0.87	100	51.700000	51.931590
0.86	100	48.420000	46.177523
0.85	100	46.450000	45.084449
0.84	100	37.960000	24.063217
0.83	100	40.460000	41.519735
0.82	100	35.470000	30.321100
0.81	100	38.660000	36.915368
0.80	100	31.370000	29.438293
0.79	100	28.770000	22.381624
0.78	100	32.720000	37.129794
0.77	100	28.340000	23.579746
0.76	100	25.830000	19.079861
0.75	100	24.330000	13.089733
0.74	100	25.270000	18.594007
0.73	99	26.242424	30.776513
0.72	100	21.820000	9.075660
0.71	99	22.646465	14.850306
0.70	100	21.090000	8.627972
0.69	100	20.820000	12.849420
0.68	100	18.490000	6.205635
0.67	100	19.790000	14.691014
0.66	100	17.440000	5.014619
0.65	100	18.510000	5.650655
0.64	100	17.760000	7.971349
0.63	100	19.100000	7.192357
0.62	100	16.140000	4.656222
0.61	100	15.540000	4.028449
0.60	100	14.990000	3.848363
0.59	100	15.770000	4.399670
0.58	98	16.591837	6.677462
0.57	100	15.510000	3.889717
0.56	100	15.040000	3.506907
0.55	100	13.850000	3.317755
0.54	100	14.100000	3.656501
0.53	100	13.840000	3.002399
0.52	99	14.080808	3.580748
0.51	99	13.090909	2.726936
0.50	99	13.858586	3.752467
0.49	100	13.240000	3.156327
0.48	97	13.103093	3.124511
0.47	99	12.747475	3.111865
0.46	97	12.917526	2.673544
0.45	100	12.260000	2.617709
0.44	97	12.288660	2.461911
0.43	100	11.580000	2.122169
0.42	97	12.711340	6.773141
0.41	98	11.479592	2.026506
0.40	97	11.329897	1.881662
0.39	94	11.659574	2.541373
0.38	96	11.322917	2.186582
0.37	94	11.170213	1.842976
0.36	96	10.895833	2.048776
0.35	96	10.802083	1.636942
0.34	96	10.885417	2.060895
0.33	96	10.843750	1.647777
0.32	93	10.612903	2.042728
0.31	95	10.189474	1.643454
0.30	90	10.466667	2.098677
0.29	92	10.271739	1.574962
0.28	85	9.623529	1.952232
0.27	92	9.880435	2.031504
0.26	87	9.747126	1.357977
0.25	81	9.777778	1.515354
0.24	89	9.629213	1.711705
0.23	85	9.329412	1.536905
0.22	82	8.914634	2.007311
0.21	88	9.159091	2.071925
0.20	85	8.952941	1.921433
0.19	82	8.646341	1.996167
0.18	79	8.050633	2.755426
0.17	82	8.317073	2.134948
0.16	83	8.421687	2.048335
0.15	79	7.658228	2.832390
0.14	78	6.974359	3.616112
0.13	80	7.137500	3.113454
0.12	80	7.200000	2.980772
0.11	77	6.298701	3.357739
0.10	68	6.250000	3.410085
0.09	69	6.405797	3.236203
0.08	77	5.064935	3.693932
0.07	73	4.479452	3.376428
0.06	81	3.469136	3.270090
0.05	84	3.630952	3.323007
0.04	81	3.370370	3.305231
0.03	87	2.298851	2.652758
0.02	92	2.119565	2.462070
0.01	92	1.630435	1.920809

