Ratio	Convergence/100	MeanStepsToConvergence	StdDevStepsToConvergence
1.00	100	82.610000	20.105668
0.99	100	78.070000	20.950539
0.98	100	68.670000	21.411705
0.97	100	63.160000	20.066749
0.96	100	59.710000	19.072648
0.95	100	58.530000	19.539424
0.94	100	54.480000	19.927107
0.93	100	52.350000	18.521002
0.92	100	50.610000	17.845389
0.91	100	46.050000	15.891114
0.90	100	43.170000	17.922642
0.89	100	45.330000	20.206957
0.88	100	40.120000	13.834941
0.87	100	37.200000	12.797656
0.86	100	37.360000	12.666902
0.85	100	37.000000	13.155227
0.84	100	33.650000	8.491614
0.83	100	34.000000	12.332072
0.82	100	30.920000	9.275430
0.81	100	28.480000	7.672653
0.80	100	30.950000	8.719375
0.79	100	30.620000	8.955200
0.78	100	27.200000	6.292853
0.77	100	27.190000	6.986694
0.76	100	27.580000	8.353658
0.75	100	26.900000	7.547847
0.74	100	25.550000	7.982951
0.73	100	24.900000	6.070420
0.72	100	24.070000	5.385638
0.71	100	24.130000	5.965995
0.70	100	24.080000	7.053623
0.69	100	23.660000	6.246951
0.68	100	22.980000	7.481952
0.67	100	21.630000	5.035186
0.66	100	20.850000	4.682681
0.65	100	21.340000	6.409711
0.64	100	20.230000	4.239941
0.63	100	19.940000	5.442095
0.62	100	20.970000	8.003068
0.61	100	19.530000	4.334640
0.60	100	19.460000	4.336865
0.59	100	19.260000	4.314209
0.58	100	18.940000	4.569070
0.57	100	19.380000	5.110342
0.56	100	18.200000	4.037326
0.55	100	17.730000	4.467337
0.54	100	17.170000	3.808031
0.53	100	17.150000	3.353729
0.52	100	17.000000	3.331666
0.51	100	16.740000	3.312461
0.50	100	16.990000	5.199029
0.49	100	16.270000	2.921832
0.48	100	15.980000	3.616573
0.47	100	16.880000	3.896871
0.46	100	16.650000	4.609501
0.45	100	15.880000	3.963029
0.44	100	16.060000	4.433554
0.43	100	15.290000	3.131437
0.42	100	15.190000	3.161313
0.41	100	14.920000	3.038684
0.40	100	14.770000	2.781564
0.39	100	14.620000	3.546209
0.38	100	14.550000	3.522428
0.37	98	14.091837	4.522251
0.36	100	14.070000	2.888789
0.35	99	14.121212	2.804299
0.34	99	13.494949	2.491901
0.33	100	14.460000	3.031237
0.32	100	13.540000	2.934007
0.31	100	13.190000	2.598827
0.30	99	13.505051	2.986075
0.29	99	13.101010	2.702393
0.28	98	13.336735	3.744231
0.27	99	13.191919	2.932496
0.26	100	12.470000	2.255903
0.25	95	12.968421	3.027775
0.24	98	12.306122	3.035195
0.23	99	12.000000	2.322486
0.22	97	12.762887	2.941958
0.21	98	11.693878	2.512857
0.20	99	12.131313	2.852065
0.19	94	11.627660	2.609247
0.18	92	11.858696	2.819118
0.17	97	11.443299	2.813697
0.16	94	11.574468	2.699446
0.15	89	11.595506	3.125535
0.14	86	11.174419	2.593336
0.13	88	11.045455	2.725757
0.12	87	10.459770	2.974236
0.11	87	10.218391	2.370437
0.10	77	9.584416	2.205958
0.09	79	9.822785	2.800359
0.08	79	8.202532	3.428768
0.07	76	8.144737	3.556698
0.06	80	7.462500	4.245420
0.05	74	7.418919	4.178474
0.04	68	5.941176	4.533802
0.03	75	4.306667	3.976509
0.02	84	2.523810	3.122408
0.01	87	2.126437	2.481215
