Ratio	Convergence/100	MeanStepsToConvergence	StdDevStepsToConvergence
1.00	100	82.390000	22.335127
0.99	100	72.690000	20.904399
0.98	100	72.640000	24.922889
0.97	100	60.840000	22.805140
0.96	100	61.300000	22.241178
0.95	100	57.570000	21.491512
0.94	100	52.960000	29.061975
0.93	100	48.910000	17.299766
0.92	100	46.140000	15.601295
0.91	100	44.810000	17.987604
0.90	100	43.540000	18.452328
0.89	100	39.390000	14.042717
0.88	100	37.650000	13.213913
0.87	100	36.440000	11.281241
0.86	100	35.220000	9.292556
0.85	100	32.120000	8.978062
0.84	100	32.390000	11.280864
0.83	100	32.700000	12.443874
0.82	100	29.800000	9.466784
0.81	100	29.250000	8.395683
0.80	100	27.980000	8.855484
0.79	100	28.960000	8.142383
0.78	100	25.200000	8.098148
0.77	100	25.410000	12.163137
0.76	100	24.840000	7.098901
0.75	100	24.540000	6.155355
0.74	100	23.810000	6.049289
0.73	100	24.800000	7.295204
0.72	100	22.240000	5.299283
0.71	100	22.830000	5.665783
0.70	100	22.040000	6.021495
0.69	100	20.880000	4.958387
0.68	100	20.410000	4.779320
0.67	100	19.840000	4.672729
0.66	100	20.270000	4.736782
0.65	100	20.570000	4.327251
0.64	100	18.540000	3.996048
0.63	100	19.450000	4.735768
0.62	100	18.990000	4.003736
0.61	100	18.400000	4.123106
0.60	100	17.120000	4.040495
0.59	100	17.590000	4.000237
0.58	100	17.090000	3.789710
0.57	100	16.960000	3.376152
0.56	100	16.650000	3.927786
0.55	100	16.440000	3.988283
0.54	100	15.440000	3.050639
0.53	100	16.090000	3.504554
0.52	100	15.330000	2.839208
0.51	100	15.660000	3.247214
0.50	100	15.230000	3.343217
0.49	100	14.550000	2.368016
0.48	100	14.310000	2.844978
0.47	99	14.383838	2.862884
0.46	99	13.979798	2.365492
0.45	100	14.290000	2.970842
0.44	100	13.820000	2.380672
0.43	100	13.730000	2.361588
0.42	100	13.780000	2.439590
0.41	99	13.393939	2.182660
0.40	99	13.131313	2.214035
0.39	99	12.858586	2.044999
0.38	99	13.222222	2.410229
0.37	99	12.909091	2.296642
0.36	98	12.408163	2.151586
0.35	98	12.193878	1.810729
0.34	100	12.660000	2.538582
0.33	99	12.050505	1.887619
0.32	97	11.969072	1.707797
0.31	95	11.705263	1.647158
0.30	98	11.561224	1.684663
0.29	99	11.616162	1.637361
0.28	99	11.282828	1.456718
0.27	97	11.371134	1.706987
0.26	98	11.193878	1.454466
0.25	96	10.927083	1.628169
0.24	98	11.173469	1.491647
0.23	99	10.525253	2.006774
0.22	95	10.884211	1.442681
0.21	95	10.673684	1.970531
0.20	93	10.559140	1.575773
0.19	90	10.300000	1.425560
0.18	94	10.244681	1.966129
0.17	86	10.081395	1.518989
0.16	91	9.956044	1.932442
0.15	83	9.602410	2.167336
0.14	80	9.662500	1.588582
0.13	83	9.506024	2.219158
0.12	85	9.317647	2.322330
0.11	84	8.654762	3.037441
0.10	83	8.542169	2.838213
0.09	75	8.253333	2.875614
0.08	67	7.223881	3.441715
0.07	70	6.828571	3.779537
0.06	70	5.957143	3.693375
0.05	75	5.400000	3.891872
0.04	76	4.263158	3.746466
0.03	80	3.850000	3.420892
0.02	85	2.776471	2.979840
0.01	91	2.109890	2.433514

